ID,Attrition,Degree_Type,Achieved_Credit_Points,Attendance_Type,Age,Failed_Credit_Points,International_student,First_in_family,Gender,GPA,OP_Score,Socio_Economic_Status,Teaching _Period_Admitted,Faculty
539,Retained,Single,0,Full Time,21,0,No,Yes,M,0,7,Medium,SEM-1,Sci and Eng Faculty
540,Retained,Single,120,Full Time,21,0,No,No,M,4.57,11,High,SEM-1,Faculty of Education
541,Retained,Single,84,Full Time,20,0,No,No,M,4.57,7,High,SEM-1,Faculty of Education
542,Retained,Single,72,Full Time,22,24,No,No,M,4,4,High,SEM-1,Sci and Eng Faculty
543,Not Retained,Single,192,Full Time,24,0,No,Yes,M,5,24,Medium,SEM-1,Faculty of Health
544,Not Retained,Single,96,Full Time,23,0,No,Yes,M,4.25,13,Medium,SEM-1,Faculty of Health
545,Retained,Single,228,Part Time,26,0,No,No,M,4.43,3,High,SEM-1,Faculty of Education
546,Retained,Single,24,Part Time,28,0,No,No,M,6.5,15,Medium,SEM-2,Sci and Eng Faculty
547,Retained,Single,96,Full Time,22,0,Yes,No,M,5.38,8,Medium,SEM-1,Faculty of Health
548,Not Retained,Single,36,Full Time,27,0,No,No,M,6.33,20,Medium,SEM-1,QUT Business School
549,Not Retained,Single,72,Full Time,29,0,No,No,M,5,10,High,SEM-2,Sci and Eng Faculty
550,Retained,Single,144,Full Time,30,0,No,Yes,M,5.67,15,High,SEM-1,Faculty of Health
551,Retained,Single,96,Full Time,20,12,No,No,M,5.38,7,Medium,SEM-1,Faculty of Health
552,Retained,Single,96,Full Time,28,0,No,No,M,5.63,5,High,SEM-1,Sci and Eng Faculty
553,Retained,Single,96,Full Time,31,0,No,No,M,5.63,14,High,SEM-1,QUT Business School
554,Retained,Single,0,Full Time,23,72,No,Yes,M,1,16,Low,SEM-1,Sci and Eng Faculty
555,Retained,Single,96,Full Time,22,0,No,Yes,M,4.5,10,Medium,SEM-1,Faculty of Law
556,Retained,Double,96,Full Time,19,0,No,No,M,5.25,9,Medium,SEM-1,Sci and Eng Faculty
557,Not Retained,Single,96,Full Time,20,0,No,No,M,5.13,17,High,SEM-1,Sci and Eng Faculty
558,Retained,Double,96,Full Time,20,0,No,No,M,5.63,4,High,SEM-1,Sci and Eng Faculty
559,Retained,Single,24,Part Time,25,0,No,Yes,M,6,9,High,SEM-2,Sci and Eng Faculty
560,Not Retained,Single,48,Full Time,22,0,No,No,M,5.5,23,Medium,SEM-1,CI Faculty
561,Retained,Single,84,Full Time,23,12,No,Yes,M,4.86,13,Medium,SEM-1,Faculty of Law
562,Retained,Single,84,Full Time,20,0,No,Yes,M,5.43,10,Medium,SEM-1,Faculty of Education
563,Retained,Single,144,Full Time,24,0,No,No,M,6.67,13,Medium,SEM-2,Faculty of Health
564,Retained,Single,96,Full Time,31,0,No,Yes,M,6,24,Low,SEM-1,Faculty of Health
565,Retained,Single,96,Full Time,20,0,Yes,No,M,7,1,Medium,SEM-2,Sci and Eng Faculty
566,Retained,Single,96,Full Time,19,0,No,No,M,5.13,5,Medium,SEM-1,QUT Business School
567,Retained,Single,96,Full Time,19,0,No,No,M,5.38,3,High,SEM-1,CI Faculty
568,Not Retained,Single,108,Part Time,25,12,No,No,M,3.5,14,High,SEM-1,Faculty of Law
569,Retained,Single,144,Full Time,21,0,No,No,M,4.58,8,High,SEM-2,Faculty of Law
570,Retained,Single,96,Full Time,20,0,No,No,M,6.5,1,Medium,SEM-1,Faculty of Health
571,Retained,Single,192,Full Time,25,0,No,No,M,4.88,14,Medium,SEM-1,Faculty of Law
572,Retained,Single,48,Full Time,21,0,No,No,M,4.75,17,Medium,SEM-2,QUT Business School
573,Retained,Double,156,Part Time,26,24,No,Yes,M,4.4,25,Medium,SEM-1,Sci and Eng Faculty
574,Retained,Single,24,Full Time,25,12,No,Yes,M,3.33,12,Medium,SEM-2,Faculty of Law
575,Retained,Single,144,Full Time,21,0,No,No,M,6.83,1,High,SEM-1,QUT Business School
576,Retained,Single,48,Part Time,24,24,No,No,M,3.67,5,High,SEM-1,Faculty of Education
577,Retained,Single,180,Full Time,22,0,No,No,M,6.6,5,Medium,SEM-1,CI Faculty
578,Retained,Single,96,Full Time,28,0,No,No,M,5.25,12,Medium,SEM-1,CI Faculty
579,Retained,Single,48,Full Time,25,24,No,No,M,3.6,19,High,SEM-1,Faculty of Health
580,Retained,Single,36,Full Time,19,60,No,Yes,M,3.13,10,Medium,SEM-1,Sci and Eng Faculty
581,Retained,Single,144,Full Time,33,0,Yes,No,M,4.58,10,Medium,SEM-2,Sci and Eng Faculty
582,Retained,Single,96,Full Time,21,0,No,No,M,4.57,7,High,SEM-1,Faculty of Health
583,Retained,Single,192,Full Time,23,0,Yes,No,M,4.69,18,High,SEM-1,CI Faculty
584,Retained,Single,168,Full Time,21,24,Yes,No,M,4.19,24,Medium,SEM-1,CI Faculty
585,Retained,Single,144,Full Time,20,48,No,Yes,M,3.44,15,Low,SEM-1,QUT Business School
586,Retained,Single,120,Part Time,19,0,Yes,No,F,6.5,1,High,SEM-1,QUT Business School
587,Retained,Single,0,Full Time,39,0,No,No,F,0,19,Medium,SEM-1,Faculty of Health
588,Retained,Single,144,Full Time,29,0,Yes,No,F,5,12,High,SEM-2,Faculty of Health
589,Retained,Single,48,Full Time,27,0,Yes,No,F,4,9,High,SEM-2,Faculty of Health
590,Not Retained,Single,48,Full Time,19,0,No,No,F,6.5,2,Medium,SEM-1,Faculty of Health
591,Retained,Single,108,Full Time,20,0,No,Yes,F,5.5,8,Low,SEM-1,Faculty of Health
592,Retained,Single,96,Full Time,19,0,Yes,No,F,4.63,2,Medium,SEM-1,Faculty of Education
593,Retained,Single,192,Full Time,20,0,No,No,F,4.88,9,Medium,SEM-1,CI Faculty
594,Retained,Single,156,Full Time,38,0,No,No,F,5,20,High,SEM-1,QUT Business School
595,Retained,Single,96,Full Time,26,0,No,Yes,F,5.5,23,Low,SEM-1,CI Faculty
596,Retained,Single,192,Full Time,22,0,Yes,No,F,4.88,23,High,SEM-1,QUT Business School
597,Not Retained,Single,0,Full Time,19,0,No,Yes,F,0,8,Medium,SEM-2,QUT Business School
598,Retained,Single,84,Full Time,20,24,No,No,F,4.11,10,High,SEM-1,QUT Business School
599,Retained,Single,96,Full Time,23,12,No,No,F,5.13,4,Low,SEM-1,Faculty of Health
600,Retained,Single,96,Full Time,21,0,No,No,F,5.63,24,Medium,SEM-1,CI Faculty
601,Retained,Single,108,Part Time,25,12,No,No,F,3.5,23,Medium,SEM-2,Faculty of Law
602,Not Retained,Single,0,Part Time,43,12,No,Yes,F,1,16,Medium,SEM-2,Faculty of Law
603,Retained,Single,0,Full Time,37,0,No,Yes,F,0,23,Medium,SEM-1,Sci and Eng Faculty
604,Not Retained,Single,96,Full Time,47,48,No,No,F,1,17,High,SEM-1,Faculty of Health
605,Retained,Single,192,Part Time,33,0,No,Yes,F,6.5,6,Medium,SEM-1,Faculty of Health
606,Not Retained,Single,84,Full Time,19,0,No,Yes,F,6.43,3,Medium,SEM-2,Sci and Eng Faculty
607,Not Retained,Single,96,Full Time,19,0,No,Yes,F,4.75,5,High,SEM-1,Faculty of Health
608,Not Retained,Single,48,Full Time,31,0,No,No,F,5.25,19,Medium,SEM-1,CI Faculty
609,Retained,Single,48,Full Time,20,0,Yes,No,F,5,17,High,SEM-2,Faculty of Law
610,Retained,Single,96,Full Time,19,0,No,No,M,4.75,7,Low,SEM-1,Sci and Eng Faculty
611,Retained,Double,144,Full Time,20,0,No,No,M,4.25,10,High,SEM-1,Faculty of Law
612,Retained,Single,120,Full Time,20,0,No,No,M,5.5,22,Medium,SEM-1,Sci and Eng Faculty
613,Retained,Single,96,Full Time,19,0,No,No,M,5.75,7,Medium,SEM-1,Faculty of Health
614,Retained,Single,96,Full Time,23,0,No,No,M,5.75,14,Medium,SEM-1,Faculty of Education
615,Retained,Single,132,Full Time,22,12,No,No,M,4.5,7,High,SEM-1,Sci and Eng Faculty
616,Retained,Single,96,Full Time,20,0,No,No,M,4.25,11,Medium,SEM-1,Faculty of Education
617,Not Retained,Single,84,Full Time,21,0,No,Yes,M,5.57,9,Medium,SEM-1,Faculty of Education
618,Retained,Single,0,Full Time,19,48,No,Yes,M,1.25,13,Low,SEM-2,Sci and Eng Faculty
619,Retained,Single,96,Full Time,32,0,No,No,M,6.13,15,High,SEM-1,Faculty of Education
620,Retained,Single,120,Full Time,21,24,No,No,M,2.75,5,Medium,SEM-1,Sci and Eng Faculty
621,Retained,Single,60,Full Time,20,36,No,Yes,M,2.33,14,Medium,SEM-2,QUT Business School
622,Retained,Single,96,Full Time,19,0,No,No,M,4.88,16,Medium,SEM-1,Faculty of Education
623,Retained,Single,96,Full Time,19,0,No,No,M,5.63,7,Medium,SEM-1,Sci and Eng Faculty
624,Retained,Single,84,Full Time,19,12,No,No,M,4.38,14,Medium,SEM-1,QUT Business School
625,Retained,Single,144,Full Time,20,0,No,No,M,6,5,Medium,SEM-2,Sci and Eng Faculty
626,Retained,Single,96,Full Time,19,0,No,No,M,5.13,8,High,SEM-1,Sci and Eng Faculty
627,Retained,Double,0,Full Time,27,0,No,No,M,0,18,Low,SEM-1,Faculty of Health
628,Retained,Single,36,Full Time,21,12,No,No,M,5,19,High,SEM-1,Faculty of Health
629,Retained,Single,96,Full Time,19,0,No,Yes,F,5.75,3,Medium,SEM-1,Faculty of Health
630,Retained,Single,84,Full Time,19,12,Yes,No,M,4.75,8,High,SEM-1,Sci and Eng Faculty
631,Retained,Single,108,Full Time,20,0,No,No,M,5,12,High,SEM-1,Sci and Eng Faculty
632,Retained,Single,372,Full Time,40,12,No,No,M,4.43,23,Medium,SEM-2,Faculty of Health
633,Retained,Single,144,Full Time,32,0,Yes,No,F,4.67,25,Medium,SEM-2,Faculty of Health
634,Retained,Single,96,Full Time,19,0,No,No,M,4.5,8,Medium,SEM-1,Faculty of Health
635,Not Retained,Single,72,Full Time,20,0,No,No,F,6.83,3,Medium,SEM-1,Faculty of Health
636,Retained,Single,36,Full Time,21,12,No,No,F,4.75,8,Medium,SEM-2,CI Faculty
637,Retained,Single,120,Full Time,22,0,Yes,Yes,F,6,8,High,SEM-1,Faculty of Health
638,Retained,Single,216,Part Time,33,0,No,Yes,F,6.67,23,Medium,SEM-1,Faculty of Education
639,Retained,Single,120,Full Time,22,24,No,No,F,3.6,18,Medium,SEM-2,QUT Business School
640,Retained,Single,72,Full Time,18,0,No,Yes,F,4.67,7,Low,SEM-1,Faculty of Health
641,Retained,Single,96,Full Time,18,0,No,Yes,F,6.13,2,Medium,SEM-1,Faculty of Health
642,Retained,Single,240,Full Time,49,0,No,No,F,5.92,12,High,SEM-1,Faculty of Law
643,Retained,Single,144,Full Time,42,0,No,No,F,5.67,21,High,SEM-1,Sci and Eng Faculty
644,Retained,Single,96,Part Time,19,0,Yes,No,F,5.88,4,Low,SEM-1,Faculty of Health
645,Retained,Single,84,Full Time,20,12,Yes,No,F,4,13,Medium,SEM-1,Faculty of Law
646,Retained,Single,96,Full Time,19,0,No,No,F,5,11,Medium,SEM-1,Faculty of Health
647,Not Retained,Single,132,Full Time,30,0,No,No,F,6.33,12,High,SEM-1,Faculty of Law
648,Retained,Single,96,Full Time,20,0,No,No,F,5.5,12,Medium,SEM-1,CI Faculty
649,Retained,Single,84,Full Time,20,12,No,No,F,4.5,9,Low,SEM-1,QUT Business School
650,Retained,Single,96,Full Time,19,0,No,Yes,F,6,5,Medium,SEM-1,CI Faculty
651,Retained,Single,108,Full Time,31,0,No,No,F,4.67,15,High,SEM-1,QUT Business School
652,Retained,Single,96,Full Time,29,0,No,Yes,F,4.88,4,Low,SEM-1,Faculty of Health
653,Retained,Single,72,Full Time,23,48,No,No,F,3.63,1,Medium,SEM-1,Faculty of Education
654,Retained,Single,48,Full Time,22,0,No,No,F,5.67,14,Medium,SEM-2,Faculty of Health
655,Not Retained,Single,24,Full Time,44,0,No,Yes,F,6.5,17,High,SEM-1,CI Faculty
656,Retained,Single,96,Full Time,20,0,No,Yes,F,5.43,14,High,SEM-1,Faculty of Health
657,Not Retained,Single,84,Full Time,20,0,No,Yes,F,5,7,Medium,SEM-2,Faculty of Health
658,Retained,Single,96,Full Time,19,0,No,No,F,5,5,Medium,SEM-1,CI Faculty
659,Retained,Double,72,Full Time,33,0,No,Yes,F,6.17,5,High,SEM-1,Faculty of Health
660,Retained,Single,36,Full Time,25,0,No,Yes,F,4.33,8,High,SEM-2,Faculty of Health
661,Retained,Double,144,Full Time,20,12,No,No,F,4.43,10,Medium,SEM-1,Faculty of Law
662,Retained,Single,156,Full Time,21,0,No,No,F,5.17,21,High,SEM-1,Faculty of Health
663,Retained,Single,96,Full Time,19,0,No,Yes,F,6.13,23,Medium,SEM-1,CI Faculty
664,Retained,Single,144,Part Time,25,0,No,No,F,6,21,Medium,SEM-1,CI Faculty
665,Retained,Single,96,Full Time,19,0,No,No,F,6.13,2,High,SEM-1,Faculty of Health
666,Retained,Single,108,Full Time,23,0,No,Yes,F,0,22,Medium,SEM-1,CI Faculty
667,Retained,Double,96,Full Time,19,0,No,No,F,5.5,5,Medium,SEM-1,Faculty of Health
668,Retained,Single,156,Full Time,20,0,No,Yes,F,5,9,Medium,SEM-1,CI Faculty
669,Not Retained,Single,96,Full Time,19,0,No,No,F,6.75,13,Low,SEM-2,Sci and Eng Faculty
670,Not Retained,Single,96,Full Time,19,12,No,No,F,4.11,12,Low,SEM-1,CI Faculty
671,Retained,Single,144,Full Time,21,0,No,No,F,5.58,8,Medium,SEM-1,QUT Business School
672,Not Retained,Double,96,Full Time,20,0,No,No,F,6,7,High,SEM-1,Sci and Eng Faculty
673,Retained,Single,96,Part Time,39,0,No,No,F,5.86,9,Low,SEM-1,Faculty of Health
674,Retained,Single,216,Full Time,22,12,No,No,F,4,24,Medium,SEM-1,QUT Business School
675,Retained,Single,192,Full Time,25,0,No,No,F,6.25,6,High,SEM-1,Faculty of Law
676,Retained,Single,120,Full Time,21,0,No,No,F,5.2,4,Low,SEM-1,Faculty of Law
677,Retained,Single,96,Full Time,25,0,No,No,F,5.57,20,High,SEM-1,Faculty of Health
678,Not Retained,Single,60,Full Time,19,24,No,Yes,F,3.33,15,Low,SEM-1,QUT Business School
679,Retained,Single,48,Part Time,36,0,Yes,No,F,5.5,23,Medium,SEM-2,QUT Business School
680,Not Retained,Double,48,Full Time,22,0,No,No,F,5.5,9,High,SEM-1,Faculty of Health
681,Retained,Single,84,Full Time,20,0,No,No,F,4.14,12,High,SEM-1,Faculty of Health
682,Retained,Double,96,Full Time,19,0,No,No,F,5.25,8,High,SEM-1,Faculty of Health
683,Retained,Single,96,Full Time,20,0,No,No,F,5.38,15,High,SEM-1,Faculty of Education
684,Retained,Single,228,Part Time,24,0,No,No,F,4.5,2,High,SEM-2,Faculty of Law
685,Retained,Single,96,Full Time,20,0,No,Yes,F,5.38,5,Medium,SEM-1,QUT Business School
686,Not Retained,Single,36,Part Time,21,12,No,Yes,F,3.5,14,High,SEM-2,Faculty of Law
687,Retained,Single,96,Full Time,19,0,No,No,F,4.63,9,High,SEM-1,Faculty of Education
688,Retained,Single,72,Full Time,19,12,No,Yes,F,4.86,12,Medium,SEM-1,Sci and Eng Faculty
689,Retained,Single,96,Full Time,20,0,No,No,F,6.13,2,Medium,SEM-1,CI Faculty
690,Retained,Single,0,Full Time,28,0,Yes,No,F,0,9,High,SEM-1,QUT Business School
691,Not Retained,Single,0,Full Time,19,48,No,Yes,F,1,10,High,SEM-1,CI Faculty
692,Retained,Single,96,Full Time,38,0,No,Yes,F,5.86,2,High,SEM-1,Faculty of Health
693,Not Retained,Single,0,Full Time,19,48,No,No,F,1,7,Medium,SEM-1,Faculty of Law
694,Not Retained,Single,36,Full Time,19,0,No,No,F,5.67,25,High,SEM-2,CI Faculty
695,Retained,Single,36,Full Time,36,0,No,No,F,6.5,4,High,SEM-2,Faculty of Health
696,Retained,Single,84,Full Time,20,0,No,Yes,F,5,7,Medium,SEM-1,Sci and Eng Faculty
697,Retained,Single,240,Part Time,23,0,No,No,F,4.75,13,Medium,SEM-1,Faculty of Health
698,Retained,Single,108,Full Time,27,0,No,Yes,F,4.57,6,High,SEM-2,Faculty of Health
699,Retained,Single,96,Full Time,21,12,No,No,F,5.88,7,Medium,SEM-1,Faculty of Health
700,Retained,Single,72,Full Time,20,36,No,Yes,F,3.67,20,Low,SEM-1,QUT Business School
701,Not Retained,Single,48,Full Time,19,36,No,No,F,3.71,8,Medium,SEM-1,CI Faculty
702,Retained,Single,96,Full Time,19,0,No,Yes,F,5.63,12,Medium,SEM-1,Faculty of Education
703,Retained,Single,84,Full Time,20,0,No,No,F,4.57,12,Medium,SEM-1,Faculty of Education
704,Retained,Single,96,Full Time,19,0,No,No,F,6.13,2,High,SEM-1,Faculty of Health
705,Not Retained,Single,192,Full Time,20,0,No,No,F,6.81,1,High,SEM-1,Faculty of Health
706,Retained,Single,48,Full Time,19,12,No,No,F,4.4,8,Low,SEM-2,QUT Business School
707,Retained,Single,24,Part Time,19,60,No,No,F,2.14,19,High,SEM-1,QUT Business School
708,Retained,Single,168,Full Time,22,12,Yes,No,F,4.57,12,Medium,SEM-1,QUT Business School
709,Retained,Single,120,Full Time,25,0,No,No,F,0,1,High,SEM-1,Faculty of Education
710,Retained,Single,96,Full Time,27,0,Yes,Yes,F,5.43,24,High,SEM-1,Faculty of Health
711,Not Retained,Single,96,Full Time,22,0,No,No,F,4.88,13,High,SEM-1,Faculty of Health
712,Not Retained,Single,96,Full Time,21,12,No,Yes,F,6.11,19,Medium,SEM-1,Faculty of Health
713,Retained,Single,192,Full Time,20,0,Yes,No,F,4.63,10,Medium,SEM-1,QUT Business School
714,Retained,Single,156,Full Time,22,0,Yes,No,F,4.85,3,Medium,SEM-2,CI Faculty
715,Retained,Single,84,Full Time,21,0,No,Yes,F,5.57,21,Medium,SEM-1,CI Faculty
716,Retained,Single,192,Full Time,25,0,Yes,No,M,4.13,2,High,SEM-1,QUT Business School
717,Not Retained,Single,144,Full Time,42,36,Yes,No,F,3.29,15,High,SEM-1,Faculty of Health
718,Retained,Single,96,Full Time,20,0,No,No,F,5,8,Medium,SEM-1,Faculty of Health
719,Retained,Single,96,Full Time,24,0,No,No,F,0,20,Medium,SEM-1,Faculty of Health
720,Retained,Single,96,Full Time,26,0,No,Yes,M,6.5,4,Medium,SEM-1,Faculty of Education
721,Retained,Single,84,Full Time,25,12,No,Yes,M,5,13,Low,SEM-1,Faculty of Education
722,Retained,Single,60,Part Time,22,12,No,Yes,M,5,24,High,SEM-1,Sci and Eng Faculty
723,Retained,Single,156,Full Time,23,0,No,No,M,6.33,15,High,SEM-1,Sci and Eng Faculty
724,Retained,Single,24,Part Time,31,0,No,No,M,6.5,1,Medium,SEM-1,Faculty of Health
725,Retained,Single,96,Full Time,37,0,No,No,M,6,1,Medium,SEM-1,Faculty of Health
726,Retained,Single,48,Part Time,33,0,No,Yes,M,6.25,17,Medium,SEM-2,QUT Business School
727,Retained,Single,96,Full Time,20,0,No,No,M,5.63,9,High,SEM-1,Faculty of Health
728,Retained,Single,84,Full Time,21,0,No,No,M,4.57,2,High,SEM-2,Faculty of Health
729,Retained,Single,96,Full Time,20,0,No,No,M,5.25,5,Medium,SEM-1,Faculty of Health
730,Retained,Single,180,Full Time,31,0,No,No,M,6,24,Medium,SEM-1,Sci and Eng Faculty
731,Retained,Single,48,Full Time,21,0,Yes,No,M,4.75,12,High,SEM-2,Sci and Eng Faculty
732,Retained,Single,48,Full Time,20,0,No,No,F,6,4,High,SEM-2,CI Faculty
733,Retained,Single,132,Full Time,20,0,No,No,F,6.2,16,Medium,SEM-1,Faculty of Education
734,Retained,Single,96,Full Time,19,0,No,Yes,M,4.63,9,Medium,SEM-1,CI Faculty
735,Retained,Single,12,Full Time,19,48,No,Yes,M,2.4,14,High,SEM-2,CI Faculty
736,Not Retained,Single,0,Full Time,19,108,No,Yes,M,1.67,11,Low,SEM-1,Sci and Eng Faculty
737,Retained,Single,120,Part Time,43,0,No,No,M,6,16,High,SEM-1,Faculty of Health
738,Retained,Double,96,Full Time,19,0,No,Yes,M,6,3,High,SEM-1,Sci and Eng Faculty
739,Retained,Single,288,Full Time,25,0,Yes,No,M,4.5,1,Medium,SEM-1,Sci and Eng Faculty
740,Retained,Single,48,Full Time,21,0,Yes,No,F,4,14,High,SEM-2,Faculty of Health
741,Retained,Single,144,Full Time,20,0,No,No,M,5.5,21,Medium,SEM-1,Sci and Eng Faculty
742,Retained,Single,120,Part Time,25,0,No,No,F,6,20,Medium,SEM-1,Faculty of Health
743,Not Retained,Single,96,Full Time,19,0,No,No,F,5.88,6,Medium,SEM-2,Faculty of Health
744,Retained,Single,96,Full Time,27,0,No,No,F,5.75,15,Medium,SEM-1,Faculty of Education
745,Retained,Single,156,Full Time,23,0,No,No,F,6.17,16,Medium,SEM-1,CI Faculty
746,Retained,Single,72,Part Time,19,0,No,No,F,5.67,6,Medium,SEM-2,CI Faculty
747,Retained,Single,108,Full Time,21,24,No,Yes,M,3.91,4,Low,SEM-1,Sci and Eng Faculty
748,Retained,Single,240,Full Time,28,0,Yes,No,M,6.25,18,High,SEM-1,Sci and Eng Faculty
749,Retained,Single,60,Full Time,21,12,No,No,F,4.33,7,Medium,SEM-1,Sci and Eng Faculty
750,Retained,Double,60,Full Time,19,36,No,No,M,4.25,5,Medium,SEM-1,Sci and Eng Faculty
751,Retained,Single,180,Full Time,21,0,No,No,M,5.73,9,Medium,SEM-1,Sci and Eng Faculty
752,Not Retained,Single,0,Full Time,19,48,No,No,F,1,2,Medium,SEM-1,Faculty of Health
753,Retained,Single,192,Full Time,32,0,No,No,F,6.81,21,Medium,SEM-1,Faculty of Health
754,Not Retained,Single,36,Full Time,19,0,No,Yes,F,5.33,25,Medium,SEM-1,CI Faculty
755,Not Retained,Single,0,Full Time,28,0,No,No,M,0,12,Medium,SEM-1,QUT Business School
756,Retained,Double,108,Full Time,19,0,Yes,No,F,6.14,3,Medium,SEM-1,Faculty of Health
757,Retained,Single,96,Full Time,21,0,No,Yes,F,5.57,2,Medium,SEM-1,Faculty of Health
758,Retained,Single,348,Part Time,24,0,No,Yes,F,5.21,5,High,SEM-1,Faculty of Law
759,Retained,Single,96,Full Time,30,0,Yes,Yes,M,6.13,7,Low,SEM-1,Sci and Eng Faculty
760,Retained,Single,132,Full Time,21,24,Yes,No,M,4.62,5,Medium,SEM-2,Sci and Eng Faculty
761,Retained,Single,84,Full Time,19,0,No,No,F,6,7,Medium,SEM-2,Faculty of Health
762,Not Retained,Single,96,Full Time,27,0,No,Yes,M,5.25,4,Medium,SEM-1,Sci and Eng Faculty
763,Retained,Single,96,Full Time,19,0,No,Yes,F,5.13,10,Medium,SEM-1,Faculty of Health
764,Retained,Single,96,Full Time,19,0,No,No,M,4.75,10,Medium,SEM-1,Faculty of Health
765,Not Retained,Single,84,Full Time,21,12,No,Yes,M,4.38,15,Medium,SEM-1,Sci and Eng Faculty
766,Retained,Single,96,Full Time,22,0,No,No,M,5.43,17,Low,SEM-1,Faculty of Health
767,Retained,Single,96,Full Time,20,0,No,No,M,5.5,3,Medium,SEM-1,CI Faculty
768,Retained,Single,168,Full Time,37,0,No,Yes,F,5.5,22,Medium,SEM-1,CI Faculty
769,Retained,Single,216,Full Time,26,36,No,Yes,M,4.57,18,Low,SEM-1,QUT Business School
770,Retained,Single,72,Full Time,20,24,No,No,M,4.5,23,Medium,SEM-1,Faculty of Health
771,Retained,Single,120,Full Time,25,24,Yes,No,M,4.57,24,High,SEM-1,Sci and Eng Faculty
772,Retained,Single,168,Full Time,28,0,Yes,No,M,4.63,9,Medium,SEM-2,Sci and Eng Faculty
773,Not Retained,Single,60,Full Time,19,12,No,No,M,4.17,8,High,SEM-1,CI Faculty
774,Retained,Single,156,Full Time,29,0,Yes,No,F,4,21,Medium,SEM-2,Faculty of Health
775,Retained,Single,0,Full Time,33,0,Yes,Yes,F,0,22,High,SEM-1,Faculty of Health
776,Retained,Single,96,Full Time,23,0,No,No,M,5.75,12,Medium,SEM-1,CI Faculty
777,Retained,Single,168,Full Time,22,12,Yes,Yes,M,4.29,10,Low,SEM-1,QUT Business School
778,Retained,Single,96,Full Time,19,0,No,No,F,5.63,17,Medium,SEM-1,CI Faculty
779,Not Retained,Single,0,Part Time,29,0,No,Yes,F,0,21,Medium,SEM-1,Faculty of Law
780,Retained,Single,96,Full Time,19,0,No,Yes,F,4.63,10,Medium,SEM-1,Faculty of Education
781,Retained,Single,192,Full Time,33,0,No,No,F,6.38,17,Medium,SEM-1,Faculty of Law
782,Retained,Single,96,Full Time,20,0,No,Yes,F,5.13,6,Low,SEM-1,Faculty of Education
783,Retained,Single,96,Full Time,19,0,No,Yes,F,4.75,11,Medium,SEM-1,Faculty of Law
784,Not Retained,Single,48,Full Time,23,48,No,Yes,F,1,13,Low,SEM-1,Faculty of Education
785,Retained,Single,96,Full Time,24,0,No,No,F,5.13,11,Medium,SEM-1,Sci and Eng Faculty
786,Retained,Single,96,Full Time,19,0,No,Yes,F,5,19,Medium,SEM-1,CI Faculty
787,Not Retained,Double,72,Full Time,19,0,No,No,F,5.83,2,Medium,SEM-1,Faculty of Health
788,Retained,Single,72,Part Time,22,0,No,No,F,4.83,6,High,SEM-2,QUT Business School
789,Retained,Single,144,Full Time,25,0,No,No,F,5.14,4,High,SEM-1,Faculty of Health
790,Retained,Double,156,Full Time,20,0,No,Yes,F,5.1,9,Medium,SEM-1,Faculty of Health
791,Retained,Single,24,Full Time,23,12,No,Yes,F,4,15,Medium,SEM-2,Faculty of Health
792,Retained,Single,168,Full Time,26,36,No,No,F,4.44,1,Medium,SEM-1,QUT Business School
793,Retained,Single,96,Full Time,19,0,No,No,F,4.75,9,High,SEM-1,CI Faculty
794,Retained,Single,48,Part Time,19,0,No,No,F,4.5,13,Low,SEM-1,Sci and Eng Faculty
795,Not Retained,Single,24,Full Time,19,24,No,No,F,3.75,18,High,SEM-1,Faculty of Health
796,Retained,Single,180,Full Time,30,0,No,No,F,5.33,3,High,SEM-1,Faculty of Health
797,Not Retained,Single,96,Full Time,19,0,No,Yes,F,5.5,4,Medium,SEM-1,Faculty of Health
798,Retained,Single,96,Full Time,19,0,No,Yes,F,7,2,Low,SEM-1,Faculty of Health
799,Retained,Single,96,Full Time,19,0,No,No,F,4.75,9,Medium,SEM-1,Faculty of Education
800,Not Retained,Single,96,Full Time,20,0,No,Yes,F,4.75,1,High,SEM-1,Sci and Eng Faculty
801,Retained,Single,84,Full Time,19,12,No,No,F,4.29,11,High,SEM-1,Faculty of Health
802,Retained,Single,84,Full Time,20,12,No,Yes,F,4.25,16,Medium,SEM-1,Faculty of Health
803,Retained,Double,108,Full Time,19,0,No,No,F,5,6,Medium,SEM-1,Faculty of Health
804,Not Retained,Single,24,Full Time,26,0,No,Yes,F,5.5,24,Medium,SEM-2,CI Faculty
805,Retained,Single,0,Full Time,19,0,No,Yes,F,0,8,Medium,SEM-1,Sci and Eng Faculty
806,Retained,Single,84,Full Time,21,12,No,No,F,4.25,8,High,SEM-1,CI Faculty
807,Retained,Single,96,Full Time,20,0,No,Yes,F,5.75,6,Medium,SEM-1,Faculty of Health
808,Not Retained,Single,0,Full Time,22,36,No,No,F,1,22,Medium,SEM-1,Faculty of Law
809,Retained,Single,48,Full Time,23,48,No,Yes,F,3.5,17,Medium,SEM-1,Faculty of Health
810,Retained,Single,96,Full Time,27,0,No,No,F,5.25,5,High,SEM-1,CI Faculty
811,Retained,Single,72,Full Time,22,12,No,No,F,4.67,23,Low,SEM-1,Faculty of Health
812,Not Retained,Single,24,Full Time,19,60,No,Yes,M,2,24,High,SEM-1,Sci and Eng Faculty
